Game Name,Plays,Persentase,Image
Parkour Block 2,"8,382,574 plays",60%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/143792/small.gif
EvoWars io,"35,652,958 plays",78%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/116137/small.png
Turbo Moto Racer,"22,900,094 plays",81%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/124726/small.gif
Superhero io,"11,797,508 plays",76%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/122557/small.gif
Real Squid 3D,"263,643 plays",58%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/146883/small.gif
8 Ball Pool,"597,496 plays",60%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/143429/small.gif
Hole io,"5,265,165 plays",86%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/126697/small.gif
Sniper Attack,"3,299,583 plays",73%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/128650/small.gif
All-Star Blast!,"30,402 plays",84%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/142418/small.gif
Temple Run 2,"3,070,609 plays",77%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/138603/small.gif
Amogus io,"678,892 plays",67%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/146518/small.gif
Body Race,"1,383,986 plays",58%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/147490/small.gif
Fireboy and Watergirl 5 Elements,"35,632,826 plays",79%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/119168/small.gif
AquaPark io,"13,938,763 plays",69%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/124022/small.gif
Penalty Shooters 2,"9,722,441 plays",75%,https://img-hws.y8.com/cloud/v2-y8-thumbs-small-thumbnails-001/123075/small.gif
